22,Which of these is the first stage in the growth pattern of a man,Childhood,Adolescence,Adulthood,Infancy,D,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:36,2021-08-17 17:51:36
23,Which of these periods of growth in man is rapid growth experienced,Childhood,Adulthood,Adolescence,Old Age,C,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:36,2021-08-17 17:51:36
24,At what age does man begin to experience negative growth,Childhood,Adulthood,Adolescence,Old Age,D,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:37,2021-08-17 17:51:37
25,The growth curve for most animals including man is  what shape,C-shaped,S-shaped,U-shaped,N-shaped,B,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:37,2021-08-17 17:51:37
26,The scientific study of organisms in relation to their environment is known as,Increase in height,Increase in experience,Change in color,reversible physical changes,A,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:37,2021-08-17 17:51:37
27,Which of these is an example of temporary developmental changes in man,Sexual Maturity,Menstruation in female,Permanent teeth,Pregnancy,D,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:37,2021-08-17 17:51:37
28,Which of these is an example of permanent developmental change in man,Cognitive development,Accelerated increase in height,bedwetting,Milk teeth,A,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:37,2021-08-17 17:51:37
29,A substance having a specific molecular composition which is produced by or used in a chemical process is known as,Acid,Base,Chemical,Gases,C,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:37,2021-08-17 17:51:37
30,The substance resulting from a reaction involving changes in atoms or molecules is known as,Gases,Chemical,Base,Acid,B,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:37,2021-08-17 17:51:37
31,Chemicals can be classified into the following based on their used except,Acids,Laboratory,Nuclear,Cosmetic,A,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:37,2021-08-17 17:51:37
32,A pharmaceutical chemical is a substance used in preparing and dispensing,Disinfectants,Nutrients,Food,Drugs,D,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:37,2021-08-17 17:51:37
33,All of these are examples of pharmaceutical products except,Placental extract,Paracetamol,Panadol,Penicillin,A,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:38,2021-08-17 17:51:38
34,All of these are examples of Cosmetics except,Shampoo,Chloroform,Lotion,Perfume,B,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:38,2021-08-17 17:51:38
35,The following are examples of agrochemicals except,Fertilizers,Pesticides,colorant,herbicides,C,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:38,2021-08-17 17:51:38
36,Which of these is an example of industrial chemical,Mineral Acids,Bases,Organic Acids,Hydrocarbons,D,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:38,2021-08-17 17:51:38
37,Which of these is an example of laboratory chemical,Activated Alumina,Acid-Base Indicators,Carbonates,Carbonates,C,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:38,2021-08-17 17:51:38
38,Chemicals in the workplace that are capable of causing harm to people are known as,Edible Chemicals,Poisonous Chemicals,Non-Hazardous Chemicals,Fine Chemicals,B,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:38,2021-08-17 17:51:38
39,Which of these chemicals is non-hazardous,Cyanides,Organic chemicals,Silica,Sulphides,C,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:38,2021-08-17 17:51:38
40,Which of these chemicals is toxic,Metal salts,Alumina,Ion resins,Calcium acetate,A,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:38,2021-08-17 17:51:38
41,All these are examples of moderately hazardous substances except,Propanone,Ammonia Solution,Hydrogen peroxide,Radioactive substances,D,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:38,2021-08-17 17:51:38
42,Which of these chemicals are manufactured in relatively small quantities for specific use,Fine chemicals,Heavy chemicals,Toxic chemicals,Laboratory chemicals,A,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:38,2021-08-17 17:51:38
43,Which of these are essential chemicals for all branches of industry,Fine chemicals,Heavy chemicals,Toxic chemicals,Laboratory chemicals,B,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:38,2021-08-17 17:51:38
44,Chemicals used in agriculture are termed,Agrochemical,Cosmetic,Pharmaceutical,Radioactive,A,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:38,2021-08-17 17:51:38
45,Chemicals used to beautify the body by direct application is termed,Fine chemical,Agrochemical,Cosmetic,Heavy chemical,C,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:39,2021-08-17 17:51:39
46,Which of the following could occur if chemicals are not handled properly,Celebration,Education,Research,Accident,D,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:39,2021-08-17 17:51:39
47,Which of these is not a safety measure when handling chemicals,Wear safety material before handling the chemical,Follow safety guidelines for chemical storage and handling,Taste the chemical before use,Ensure proper labeling of chemical,C,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:39,2021-08-17 17:51:39
48,Which of these is a safety material worn in the lab,Goggle,slippers,Nose ring,Wrist band,A,JSS 2,Basic Science,"CHEMICALS
",2021-08-17 17:51:39,2021-08-17 17:51:39
49,______ is said to be done whenever a force moves a body or object through a certain distance in the direction of the force,Work,Energy,Power,Motion,A,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:39,2021-08-17 17:51:39
50,The amount of work done is the product of the force and,Kinetic energy of the force,Potential energy of the force,Distance covered in the direction of the force,Power of the force,C,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:39,2021-08-17 17:51:39
51,The capacity or ability to perform work is known as,Work,Energy,Power,Motion,B,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:39,2021-08-17 17:51:39
52,The S.I. unit of measurement of Work is,Watt,Newton,Meters,Joule,D,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:40,2021-08-17 17:51:40
53,The S.I. unit of measurement of Energy is,Watt,Newton,Meters,Joule,D,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:40,2021-08-17 17:51:40
54,The S.I. unit of measurement of power is,Watt,Newton,Meters,Joule,A,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:40,2021-08-17 17:51:40
55,Which of these is not a form of energy in physics,Nuclear Energy,Light Energy,Spiritual Energy,Heat Energy,C,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:40,2021-08-17 17:51:40
56,An electric iron converts electrical energy to,Mechanical energy,Heat energy,Light energy,Sound energy,B,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:41,2021-08-17 17:51:41
57,An electric fan converts electrical energy to,Mechanical energy,Heat energy,Light energy,Sound energy,A,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:41,2021-08-17 17:51:41
58,Heat engines convert heat energy into,Mechanical energy,Heat energy,Light energy,Sound energy,A,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:41,2021-08-17 17:51:41
59,The law of conservation of energy does not apply for,Kinetic energy,Chemical reactions,Titration,Nuclear reactions,D,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:41,2021-08-17 17:51:41
60,The energy a body possesses because of its position is known as,Mechanical energy,Potential energy,Kinetic energy,Positional energy,B,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:41,2021-08-17 17:51:41
61,A stretched catapult possesses which type of energy,Kinetic energy,Mechanical energy,Potential energy,Sound energy,C,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:41,2021-08-17 17:51:41
62,Which of these is a type of potential energy,Mechanical energy,Elastic potential energy,Vertical potential energy,Kinetic energy,B,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:41,2021-08-17 17:51:41
63,The energy a body possesses because of its motion is known as,Kinetic energy,Mechanical energy,Potential energy,Energy in motion,A,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:41,2021-08-17 17:51:41
64,Which of these types of energy is used in doing work,Mechanical energy,Heat energy,Potential energy,Kinetic energy,D,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:41,2021-08-17 17:51:41
65,The rate of transfer of energy with time is known as,Work,Energy,Power,Momentum,C,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:42,2021-08-17 17:51:42
66,Calculate the work done when a force of 5N moves through a distance of 5m in the direction of the force,25 Joules,2.5 Joules,250 Joules,0.25 Joules,A,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:42,2021-08-17 17:51:42
67,Calculate the work done when a force of 50N travels through a distance of 10m,5 Joules,50 Joules,500 Joules,5000 Joules,C,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:42,2021-08-17 17:51:42
68,Calculate the work done when a bag of cement of 50kg is lifted through a vertical height of 4m (g = 10m/s2),2 Joules,20 Joules,200 Joules,2000 Joules,D,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:42,2021-08-17 17:51:42
69,"A fall is 50m high, calculate the potential energy of 5kg of water at the top of the fall (g = 10m/s2)",2.5 Joules,25 Joules,250 Joules,2500 Joules,D,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:42,2021-08-17 17:51:42
70,Calculate the potential energy of a 15kg bunch of palm fruit hanging at the top of the palm tree 20m high (g = 10m/s2),3 Joules,30 Joules,300 Joules,3000 Joules,D,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:43,2021-08-17 17:51:43
71,Calculate the kinetic energy of a body of mass 40kg running with an average speed of 10m/s,2000 Joules,200 Joules,20 Joules,2 Joules,A,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:43,2021-08-17 17:51:43
72,"A man of mass 40kg is moving with a constant velocity. If the kinetic energy is 400J, find the velocity of the man",4000m/s,14.14m/s,200m/s,40m/s,B,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:43,2021-08-17 17:51:43
73,A vehicle travelling at a constant speed of 20m/s overcomes a constant frictional resistance of 300N. Calculate the average power of the engine,60W,60KW,6KW,0.6KW,C,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:43,2021-08-17 17:51:43
74,Calculate the power of a pump which lifts 500kg of water through a vertical height of 4m in 5s. (g = 10m/s2),0.4KW,4KW,40W,40KW,B,JSS 2,Basic Science,"WORK, ENERGY AND POWER
",2021-08-17 17:51:43,2021-08-17 17:51:43
75,Anything that has mass and occupies space is defined as,Matter,Body,Object,Substance,A,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:43,2021-08-17 17:51:43
76,Matter exists in the following state except,Gas,Solid,Liquid,Ice,D,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:44,2021-08-17 17:51:44
77,The idea that matter is made up of tiny particles which are in motion is derived from,Equation of motion,Law of conservation of energy,Kinetic theory of matter,Molecular structure of matter,C,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:44,2021-08-17 17:51:44
78,The particles of matter possess what type of energy,Mechanical energy,Kinetic energy,Potential energy,Frictional energy,B,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:44,2021-08-17 17:51:44
79,Which of these is not contained in the particulate theory of matter,All matter is made up of atoms and molecules,The particles are at rest,The particles are in a constant state of motion,The particles exert attractive forces on one another,B,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:44,2021-08-17 17:51:44
80,Which of the following is not a property of solid,Fixed weight,Fixed shapes,Fixed volumes,Rigid and hard,A,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:44,2021-08-17 17:51:44
81,Which of these is a property of liquids,Fixed shape,No fixed mass,No fixed shape,fixed temperature,C,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:44,2021-08-17 17:51:44
82,Which of these is not a property of Liquid,Fixed volume,Compressible,Boils when heated,Incompressible,B,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:45,2021-08-17 17:51:45
83,Which of these is a property of Gas,Fixed volume,Compressible,Boils when heated,Incompressible,B,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:45,2021-08-17 17:51:45
84,Which of the following is an assumption of the kinetic theory of matter,Molecules possess potential energy,Atoms do not exist,Perfectly elastic collision between molecules,Temperature does not affect the energy of molecules,C,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:45,2021-08-17 17:51:45
85,The changing of any liquid into gaseous form by heating to a specific temperature is called,Evaporation,Condensation,Boiling,Freezing,C,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:45,2021-08-17 17:51:45
86,The changing of liquid to vapor or gaseous form without direct heating is called,Evaporation,Condensation,Boiling,Freezing,A,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:45,2021-08-17 17:51:45
87,The change of a liquid into a solid form as a result of extreme cooling is called,Evaporation,Condensation,Boiling,Freezing,D,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:45,2021-08-17 17:51:45
88,The process by which a gas changes into a liquid form as a result of cooling is known as,evaporation,Condensation,Boiling,Freezing,B,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:46,2021-08-17 17:51:46
89,Which of the following factors affect the rate of evaporation of a liquid,Volume,Pressure,Mass,Force,C,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:46,2021-08-17 17:51:46
90,The rate of evaporation of a liquid increases with increase in,Temperature,Nature of the liquid,Velocity,Friction,A,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:46,2021-08-17 17:51:46
91,The similarities between boiling and evaporation include the following except,They both depend on pressure,They both depend on the nature of liquid,They both depend on the area of surface exposed,They both depend on temperature,D,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:46,2021-08-17 17:51:46
92,Which of these is a characteristic of boiling,Pressure reduces during boiling,Temperature increases during boiling,Temperature remains constant during boiling,Volume reduces during boiling,C,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:46,2021-08-17 17:51:46
93,Which of these is not a characteristic of boiling,It takes place throughout the liquid,Bubbles are formed in the liquid,It is a quick process,Heat is supplied by surrounding,D,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:46,2021-08-17 17:51:46
94,Which of these is a characteristic of evaporation,It takes place throughout the liquid,Bubbles are formed in the liquid,it is a quick process,Heat is supplied by surrounding,D,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:46,2021-08-17 17:51:46
95,Evaporation takes place at,The surface of the liquid,The bottom of the liquid,Every part of the liquid,Above the liquid,A,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:47,2021-08-17 17:51:47
96,Which of these decreases the rate of evaporation of a liquid as it increases,Temperature,Area of liquid surface exposed,Pressure,Time,C,JSS 2,Basic Science,"TYPES OF ENERGY
",2021-08-17 17:51:47,2021-08-17 17:51:47
97,The transfer of energy from one place to another due to temperature change between them is defined as,Heat,Energy,Electricity,Temperature,A,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:47,2021-08-17 17:51:47
98,"When two bodies are in contact, heat will flow from the",Colder to hotter object,Hotter to colder object,Higher to lower object,Lower to higher object,B,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:47,2021-08-17 17:51:47
99,Which of these is a source of heat,Burning fuel,Kerosene,Matches,Moon,A,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:47,2021-08-17 17:51:47
100,The degree  of hotness or coldness of a body is,Heat energy,Fire,Temperature,Pressure,C,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:47,2021-08-17 17:51:47
101,The S.I. unit for measuring heat energy is,Fahrenheit,Kelvin,Celsius,Joule,D,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:47,2021-08-17 17:51:47
102,The S.I. unit for measuring temperature is,Fahrenheit,Kelvin,Celsius,Joule,B,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:47,2021-08-17 17:51:47
103,Which of these instruments are used to measure heat energy,Tester,Voltmeter,Calorimeter,Thermometer,C,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:47,2021-08-17 17:51:47
104,Which of these instruments are used to measure temperature,Tester,Voltmeter,Calorimeter,Thermometer,D,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:48,2021-08-17 17:51:48
105,Which of the following is not a method of heat transfer,Contact,Convection,Radiation,Conduction,A,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:48,2021-08-17 17:51:48
106,The method of heat transfer in which molecules of fluids acquire heat energy and get energized to move in order to transfer heat to colder molecules is called,Contact,Convection,Radiation,Conduction,B,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:48,2021-08-17 17:51:48
107,The method of heat transfer that involves transferring heat energy from place to place through an empty space in the form of waves is called,Contact,Convection,Radiation,Conduction,C,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:48,2021-08-17 17:51:48
108,The form of heat transfer that involves the movement of heat energy from particles of the hotter body to those of the colder body when placed in contact without the actual movement of the individual particles is called,Contact,Convection,Radiation,Conduction,D,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:48,2021-08-17 17:51:48
109,Substances that allow heat to pass through them easily are called,Metals,Non-metals,Conductors,Insulators,C,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:48,2021-08-17 17:51:48
110,Substances that do not allow heat to pass through them easily are called,Metals,Non-metals,Conductors,Insulators,D,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:48,2021-08-17 17:51:48
111,Which of these is an example of a good heat conductor,Metals,Non-metals,solid,liquid,A,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:48,2021-08-17 17:51:48
112,Which of these is not a poor conductor of heat,Wood,Plastic,Glass,Water,D,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:48,2021-08-17 17:51:48
113,The heat from the sun reaches the earth by,Contact,Convection,Radiation,Conduction,C,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:48,2021-08-17 17:51:48
114,The following could occur when heat energy falls on any object except,It may be reflection,It may be deflected,it may be absorbed,It may be allowed to pass through,B,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:48,2021-08-17 17:51:48
115,Which of these is not an effect of heat on matter,Thermionic emission,Expansion,Chemical change,Thermal conductivity,D,JSS 2,Basic Science,"THERMAL ENERGY
",2021-08-17 17:51:48,2021-08-17 17:51:48
116,Which of these descriptions best suit crude oil,"Colorless, odorless, tasteless liquid","Dark, sticky, viscous liquid","Volatile, colorless, abrasive liquid","Whitish, Smelly, jellylike liquid",B,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:48,2021-08-17 17:51:48
117,Crude oil is a complex mixture of,Nitrates,Hydroxides,Hydrocarbons,Oxides,C,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:48,2021-08-17 17:51:48
118,Which of these compounds contain carbon and hydrogen only,Hydrocarbons,Hydroxides,Chloroform,Water,A,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:49,2021-08-17 17:51:49
119,Products obtained from petroleum are referred to as,Petrol,Natural gas,Hydrocarbons,Petrochemicals,D,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:49,2021-08-17 17:51:49
120,Another name for crude oil and natural gas is,Petrochemicals,Fossil fuel,Renewable energy,Petroleum,B,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:49,2021-08-17 17:51:49
121,The search for crude oil is known as,Exploration,Expedition,Excursion,Research,A,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:49,2021-08-17 17:51:49
122,"When searching for crude oil, the following steps are taken except",Aerial photography,Examining surface rocks,Examining the distance from the sun,Drilling,C,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:49,2021-08-17 17:51:49
123,Which of these professionals are not involved in oil exploration,Geologists,Scientists,Engineers,Astronauts,D,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:49,2021-08-17 17:51:49
124,The process of extracting crude oil from oil traps with pipes is known as,Exploration,Extraction,Drilling,Pumping,C,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:49,2021-08-17 17:51:49
125,The color of crude oil could be any of the following depending on the location except,Amber,Greenish brown,Yellowish purple,Black,C,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:49,2021-08-17 17:51:49
126,Where was crude oil first discovered in Nigeria,Olobini,Warri,Sapele,Port Harcourt,A,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:49,2021-08-17 17:51:49
127,Oil refineries in Nigeria are located in the following places except,Kaduna,Warri,Emene,Lagos,D,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:49,2021-08-17 17:51:49
128,"Because of the high value of crude oil after refining, it is usually referred to as",Shining diamond,Black gold,Precious pearl,Green dust,B,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:49,2021-08-17 17:51:49
129,What is usually added to natural gas to avoid fire accident during use for domestic purposes,Hydrocarbons,Hydrogen sulphide,Hydrogen peroxide,Carbon dioxide,B,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:49,2021-08-17 17:51:49
130,Which of the following is not a use of natural gas,Used as cooking gas,Raw material for fertilizer,Used for nuclear power transmission,Fuel for heavy duty engines,C,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:50,2021-08-17 17:51:50
131,Which of the following is not a use of petrochemicals,Used for making POP,Used for making PVC,Used for making synthetic rubber,Used for making agrochemicals,A,JSS 2,Basic Science,"CRUDE OIL AND PETRO-CHEMICALS
",2021-08-17 17:51:50,2021-08-17 17:51:50
132,The immediate or temporary help or assistance given to somebody who has been injured or ill before taking him/her to the hospital is known as,Rescue,Help,Medical treatment,First Aid,D,JSS 2,Basic Science,"FIRST AID
",2021-08-17 17:51:50,2021-08-17 17:51:50
133,What is the primary objective of first Aid,To increase mortality,To further education,To save life,To make money,C,JSS 2,Basic Science,"FIRST AID
",2021-08-17 17:51:50,2021-08-17 17:51:50
134,Which of the following is an example of a first aid material,Knife,Scissors,Hammer,Wood,B,JSS 2,Basic Science,"FIRST AID
",2021-08-17 17:51:51,2021-08-17 17:51:51
135,Which of the following is not an example of a first aid material,Masking tape,Plaster,Cotton wool,Glucose,A,JSS 2,Basic Science,"FIRST AID
",2021-08-17 17:51:51,2021-08-17 17:51:51
